x,y,yerr-,yerr+
1,0.977684386,0.010376117,0.008119015
2,0.954678058,0.014157061,0.012066523
3,0.930967516,0.017079496,0.015152852
4,0.906190245,0.019575497,0.017807728
5,0.862312631,0.022380413,0.02084634
6,0.838624105,0.024077372,0.02269537
7,0.812885048,0.025694994,0.024464089
8,0.800617461,0.027107445,0.025951419
9,0.778459171,0.028616495,0.027578959
10,0.767377139,0.030199163,0.029211516
11,0.733810243,0.032518223,0.031651694
12,0.735707677,0.035010922,0.034076235
13,0.71061391,0.037751197,0.036912995
14,0.731698566,0.042097595,0.040959405
15,0.701741727,0.049444592,0.048277212
16,0.653363092,0.058432983,0.057674237
