x,y,yerr-,yerr+
0.424,0.00397859,0.00198821,0.003958469
49.864,0.396144901,0.021109745,0.021543503
99.304,0.138248077,0.012405148,0.013416897
148.744,0.21404074,0.014057007,0.014765217
16.904,0.167950833,0.01545984,0.016691854
33.384,0.360264786,0.020610837,0.021170651
66.344,0.24098275,0.018166281,0.01916498
82.824,0.126471389,0.011693748,0.012698201
115.784,0.218913347,0.01375365,0.014407123
132.264,0.184493894,0.014832695,0.01582114
7.016,0.034176738,0.007082849,0.008853068
23.496,0.240810729,0.017275612,0.018176232
