x,y,yerr-,yerr+
0.224,0,0,0.002325581
3.616,0.059882007,0.010247945,0.012205521
7.008,0.227564123,0.020221307,0.021592875
10.4,0.321665746,0.022812877,0.023732559
13.792,0.388569673,0.023640718,0.024227889
17.184,0.351367584,0.023077992,0.023835613
20.576,0.239035174,0.020689963,0.022017065
23.968,0.171070651,0.017330873,0.018856652
27.36,0.122765476,0.01472726,0.016427512
30.752,0.09849359,0.011463408,0.012790636
34.144,0.114092492,0.012608881,0.01395461
37.536,0.15600402,0.014752699,0.015989794
40.928,0.141559204,0.01347888,0.014646059
44.32,0.131777081,0.013348582,0.014606253
47.712,0.178645959,0.015498466,0.016633262
51.104,0.178148659,0.014311352,0.01527581
54.496,0.187600032,0.014823647,0.015787243
68.064,0.129791813,0.011922563,0.012934013
76.544,0.177196486,0.011799806,0.012449341
61.28,0.16175025,0.011097171,0.011745917
1.92,0.018146063,0.005098577,0.007040443
71.456,0.121645191,0.009966061,0.010721087
5.312,0.150925265,0.015437187,0.016861174
44.32,0.149541253,0.013220859,0.014261982
81.632,0.179043692,0.011545436,0.012157028
