x,ylow,yhigh
1.25,118.5377079,131.0719208
1.3,108.5595605,119.997789
1.35,94.52282897,104.5600428
1.4,86.66247256,95.7933728
1.45,77.53474798,85.70170963
1.5,69.40775875,76.72415567
1.55,64.86395491,71.7032362
1.6,59.02857866,65.26739423
1.65,54.6743597,60.43176603
1.7,50.89575421,56.25045542
1.75,46.05224061,50.90767243
1.8,42.25863729,46.69827284
1.85,39.16858814,43.28031849
1.9,36.72213693,40.58521491
1.95,33.70159943,37.23883998
2,31.57920148,34.89513239
2.05,29.25422775,32.32215684
2.1,27.74078732,30.65063874
2.15,25.65614704,28.34748837
2.2,24.0876526,26.61293276
2.25,22.53958707,24.90343142
2.3,21.2036559,23.42434126
2.35,19.92171144,22.01049702
2.4,18.70653617,20.66722125
