x,y,yerr-,yerr+
0,0.030727563,0.039717928,0.039672246
41.04,-0.399405538,0.039718431,0.040167514
82.08,-0.052768539,0.046580607,0.046697091
123.12,0.591277445,0.04479052,0.04387403
164.16,0.297135858,0.042016862,0.041612556
20.52,-0.253426174,0.03890002,0.03916889
61.56,-0.370183256,0.038706826,0.039161514
102.6,0.376008575,0.042532167,0.042016316
143.64,0.538989775,0.037828467,0.03723308
179.892,0.026156638,0.0400162,0.039992091
-36.252,0.607567524,0.038092939,0.037335614
-77.292,0.323342855,0.039605567,0.0391215
-118.332,-0.306531943,0.041684385,0.042072626
-159.372,-0.318755781,0.040531871,0.040926704
-56.772,0.594697775,0.039003014,0.0381859
-97.812,0.003641682,0.041462641,0.041382133
-138.852,-0.469896631,0.037006781,0.037455962
-15.732,0.359000193,0.036982066,0.036539802
-179.892,0.071515063,0.038747354,0.038669941
