x,y,yerr,,
1.25,0.100562403,0.004986565,,
1.3,0.083432321,0.00413714, , 
1.35,0.070475688,0.003494662,,
1.4,0.06738026,0.00334117, , 
1.45,0.055021248,0.002728326,,
1.5,0.047954675,0.002377918, , 
1.55,0.042765999,0.002120628,,
1.6,0.035315888,0.001751201, , 
1.65,0.032603632,0.001616709,,
1.7,0.02933062,0.001454411, , 
1.75,0.026504914,0.001314293, , 
1.8,0.021661755,0.001074137, , 
1.85,0.019603527,0.000972076, , 
1.9,0.017279215,0.000856821, , 
1.95,0.01548266,0.000767735, , 
2,0.013664065,0.000677557, , 
2.05,0.012175918,0.000603765, , 
2.1,0.011619943,0.000576196,,
2.15,0.010060757,0.00049888,,
2.2,0.009175593,0.000454988,,
2.25,0.007772864,0.000385431,,
2.3,0.007129857,0.000353547,,
2.35,0.006507847,0.000322703, , 
2.4,0.005881235,0.000291632,,
