x,y,yerr,,,,
0.0111335,0.977747252,2.79E-07, ,,,
0.556677,0.975226289,8.44E-05, ,,,
1.11335,0.971275714,1.62E-04, ,,,
1.67003,0.966108968,4.32E-04, ,,,
2.22671,0.959048044,0.000848822, ,,, 
2.78338,0.949906686,0.001333287, ,,, 
3.34006,0.937424568,0.001599612, ,,, 
3.89674,0.925579169,0.001818099, ,,,
4.45342,0.912794304,0.002408963, ,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
