x,y,yerr,,,,
0.05,0.948451613,7.00E-07,,,,
0.1,0.94844059,1.84E-06,,,,
0.25,0.94835416,5.08E-06,,,,
0.5,0.948078702,1.29908E-05,,,,
0.75,0.947675032,1.92574E-05,,,, 
1,0.947170412,2.82898E-05,,,, 
1.25,0.946793064,3.40427E-05,,,, 
1.5,0.946238272,4.37311E-05,,,,
1.75,0.946010045,4.90284E-05,,,,
2,0.945423122,6.76617E-05,,,, 
2.25,0.945043941,0.000144948,,,, 
2.5,0.944844101,8.55354E-05,,,, 
2.75,0.94393237,0.000184985,,,, 
3,0.943519034,0.000168987,,,,
3.25,0.942095986,0.000349723,,,,
3.5,0.940791508,0.000555036,,,,
3.75,0.938916987,0.000695256,,,,
4,0.93876389,0.000708968,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
