x,y,yerr,,,,
0.05,0.987022363,8.94E-07,,,,
0.1,0.986954341,2.84E-06,,,,
0.25,0.986469372,1.34917E-05,,,,
0.5,0.985255243,4.05745E-05,,,,
0.75,0.984101088,4.65236E-05,,,,
1,0.982533904,0.000260222,,,,
1.25,0.981077128,0.000262382,,,,
1.5,0.977055702,0.000715094,,,,
1.75,0.972727156,0.001171111,,,,
2,0.965471937,0.001185359,,,,
2.25,0.958986031,0.001555286,,,,
2.5,0.949683315,0.001714914,,,,
2.75,0.94131482,0.002082912,,,,
3,0.927288082,0.002358356,,,,
3.25,0.916774428,0.002703104,,,,
3.5,0.902609947,0.003019661,,,,
3.75,0.888919311,0.002985414,,,,
4,0.887996285,0.002916262,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
