x,y,yerr,,,,
0.05,0.977400347,2.70E-07,,,,
0.1,0.977388996,7.66E-07,,,,
0.25,0.977298515,3.22E-06,,,,
0.5,0.977003095,1.18152E-05,,,,
0.75,0.976577015,1.81299E-05,,,, 
1,0.976042382,2.82338E-05,,,, 
1.25,0.975644161,3.09836E-05,,,, 
1.5,0.975054569,4.0622E-05,,,,
1.75,0.974822986,4.76464E-05,,,,
2,0.974225963,6.03466E-05,,,, 
2.25,0.973852226,0.000146554,,,, 
2.5,0.973659568,8.32793E-05,,,, 
2.75,0.972779411,0.000181658,,,, 
3,0.972381968,0.000163488,,,,
3.25,0.970968226,0.000357925,,,,
3.5,0.969640938,0.000575255,,,,
3.75,0.967791632,0.00071839,,,,
4,0.967623764,0.000735054,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
