x,y,yerr,,,,
0.05,0.994401671,1.04E-06,,,,
0.1,0.99433284,3.16E-06,,,,
0.25,0.99384066,1.41E-05,,,,
0.5,0.992605949,4.27E-05,,,,
0.75,0.99144534,4.70957E-05,,,, 
1,0.989883739,0.000261768,,,, 
1.25,0.988442561,0.000264689,,,, 
1.5,0.984433266,0.000720347,,,,
1.75,0.980104445,0.001183154,,,,
2,0.972880267,0.001200142,,,, 
2.25,0.966412699,0.001575405,,,, 
2.5,0.957078707,0.001733567,,,, 
2.75,0.948857359,0.002108128,,,, 
3,0.934851244,0.002387231,,,,
3.25,0.924436003,0.002731401,,,,
3.5,0.910356772,0.003057014,,,,
3.75,0.896766073,0.003026818,,,,
4,0.895874306,0.002961913,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
