x,y,yerr,,,,
0.05,0.990366881,4.46E-07,,,,
0.1,0.990332271,1.47E-06,,,,
0.25,0.99006958,8.07E-06,,,,
0.5,0.989305293,2.97E-05,,,,
0.75,0.988408097,3.52499E-05,,,, 
1,0.987505939,4.83153E-05,,,, 
1.25,0.986791703,0.000131588,,,, 
1.5,0.986001337,0.000159852,,,,
1.75,0.984763406,0.000334747,,,,
2,0.982505119,0.000485896,,,, 
2.25,0.980498495,0.000672238,,,, 
2.5,0.9792375,0.000660625,,,, 
2.75,0.971999863,0.001211299,,,, 
3,0.966864261,0.001351512,,,,
3.25,0.961144533,0.00158556,,,,
3.5,0.954552976,0.002005993,,,,
3.75,0.946810908,0.001768967,,,,
4,0.944640122,0.002038872,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
