x,y,yerr-,yerr+
0.224,0.0041039,0.002535446,0.006590971
1.92,0.077214111,0.016606835,0.020697196
3.616,0.114458565,0.018857676,0.022033003
7.008,0.272840466,0.025748387,0.027405591
10.4,0.372589992,0.022521636,0.023130677
13.792,0.278702302,0.020728814,0.021743649
17.184,0.140547034,0.014727953,0.016148218
20.576,0.095708509,0.012630425,0.014323618
23.968,0.084253367,0.011528416,0.01316621
27.36,0.160930463,0.015182609,0.01644147
30.752,0.192412583,0.01657801,0.017750929
34.144,0.141684145,0.012815648,0.013864192
37.536,0.112925637,0.011537944,0.012668181
40.928,0.122466643,0.011894433,0.012979938
44.32,0.095462645,0.010955033,0.012208914
47.712,0.139428029,0.012216291,0.013185011
51.104,0.127840344,0.012057149,0.01311346
5.312,0.211343778,0.016894457,0.01795381
8.704,0.376258817,0.021352774,0.021881906
12.096,0.345585319,0.020631139,0.021258865
15.488,0.214026947,0.017827229,0.018989323
59.584,0.063749502,0.00942953,0.010937885
54.496,0.091002345,0.011068867,0.012430507
