x,y,yerr-,yerr+
0.224,0.009080057,0.003246451,0.005027514
1.92,0.066819904,0.010127656,0.011787563
3.616,0.166973306,0.017513909,0.019128265
7.008,0.263295323,0.020140342,0.021202061
10.4,0.176603349,0.01710122,0.018518999
13.792,0.061705991,0.010379531,0.012316977
17.184,0.067041713,0.010742609,0.012621729
20.576,0.145603752,0.013837536,0.015025208
23.968,0.125227962,0.013303077,0.014638327
27.36,0.067868497,0.009781586,0.011291227
30.752,0.047202589,0.007116855,0.008306759
34.144,0.067895167,0.008638784,0.009793713
37.536,0.064330385,0.007981402,0.009023094
40.928,0.057502762,0.0076327,0.008718662
51.104,0.037812204,0.005650234,0.006596281
5.312,0.237826958,0.020911683,0.022280094
8.704,0.230030508,0.018751273,0.019902918
12.096,0.103537103,0.012119349,0.01352113
15.488,0.049402393,0.00809053,0.009577758
22.272,0.120740212,0.01391566,0.015456434
18.88,0.088382237,0.013459224,0.015610682
